"","personas_a_cargo","ingresos_fijos","cuota_credito","gastos_sostenimiento","activos","pasivos","monto_desembolso","cuota_mensual","score","saldo_capital","saldo_vencido","dias_mora","edad","nivel_estudios","estado_civil","genero","tipo_vivienda","tiempo_residencia","estrato","actividad_economica","tipo_contrato","ocupacion","tiempo_actividad","plazo","tasa","lugar_nacimiento","mora_franja","region","cuota_credito_bin","activos_bin","pasivos_bin"
"personas_a_cargo",1,-0.0534243295135859,0.070595127167811,0.0772777895410041,0.0112846014557334,0.056744563809964,-0.00877251236634873,0.00179580670392833,0.0392751074019989,-0.0141570511279175,-0.00658520164659526,-0.005173253528194,0.0130762175686942,0.0505812844580452,0.134265369879361,0.00174693013299652,0.101262163282406,0.0461742181780221,0.0777424226264539,0.046445096152218,0.0425975238788002,0.0454262139967933,0.0515542356959875,0.0243835855203553,0.0158595267008452,0.00861915350853783,0.016318297283731,0.0324638317139127,0.0613947630535187,0.0102829121709695,0.0516569517668624
"ingresos_fijos",-0.0534243295135859,1,0.111806450668516,-0.161572389934948,0.013161808479111,0.0383490151330638,0.287764882763328,0.00677093530613171,0.149273086399709,0.052171646782478,-0.0117035277102693,-0.0245723482016215,0.125086499021704,0.321021321531747,0.0958314028785617,0.0540551086180384,0.207790761957602,0.156256517781354,0.285441926105196,0.268716503812251,0.18358762281647,0.220467880696793,0.205504419940716,0.0815121003820848,0.0568578122455169,0.0282771388303511,0.033592663788729,0.164188012279895,0.123549886885119,0.0202690498458998,0.0450135063870599
"cuota_credito",0.070595127167811,0.111806450668516,1,0.0107246224491532,0.0678018579082432,0.486308397410126,0.0362897089706407,0.00761225779557593,0.0533165877090963,-0.00174540848793843,-0.0135167403987621,0.00568061640884381,0.0203356433717431,0.109042598958399,0.0435803381542839,0.00837092372488349,0.0416629953841088,0.0714818064692984,0.118159846906861,0.160406979046357,0.172856963258333,0.102983856011635,0.03684198735481,0.049036509332317,0.0302760934062149,0.0204796489540738,0.0214257140487732,0.107636104476512,0.967546189946304,0.0677094951252961,0.475925524107191
"gastos_sostenimiento",0.0772777895410041,-0.161572389934948,0.0107246224491532,1,0.0472827751904762,0.136434576404867,-0.0323443287247059,0.00978880729213058,0.0148798109730184,-0.0357861354219043,-0.0228129192313206,-0.021770796700191,0.0223535018356323,0.092592970582584,0.115052835025326,0.00945633426463033,0.089239167360841,0.151589302506172,0.13219564687345,0.177481658538319,0.0748710555443842,0.132558230014389,0.0698177801807962,0.030780631303064,0.0141413260445071,0.0166710929917248,0.030266303978829,0.0906190793323306,0.0727134328420337,0.0518674845570562,0.0992311708671354
"activos",0.0112846014557334,0.013161808479111,0.0678018579082432,0.0472827751904762,1,0.337952328039311,0.0818858779988294,0.0123253370033372,0.0836861910943819,-0.0171394916936021,-0.0236384642993088,-0.0239503022089464,0.062866754999164,0.122162344275477,0.0586507480051978,0.00429816043909069,0.0988296709071197,0.0450218799615405,0.244320115596353,0.242159848473014,0.156910455800545,0.126298467210365,0.0655582603848313,0.0520426795835656,0.0366925285675537,0.00841519139175917,0.0313543044398351,0.410857173882435,0.0637216744189834,0.990811476019854,0.347965268280487
"pasivos",0.056744563809964,0.0383490151330638,0.486308397410126,0.136434576404867,0.337952328039311,1,0.0308182145577069,0.00766878860609695,0.0564231798290695,-0.0185043645754702,-0.029918271308241,-0.0222277417235906,0.0202304569928285,0.147509329562891,0.041086999573868,0.00676837624190646,0.0367177267989311,0.0812710140705433,0.155454656838699,0.163587600685238,0.0730842913169293,0.038809464495533,0.0553989803456396,0.0299544299006454,0.0167111183060808,0.00261513778897893,0.0282451911121088,0.184854379265907,0.45551288195915,0.344104031833038,0.967661210334463
"monto_desembolso",-0.00877251236634873,0.287764882763328,0.0362897089706407,-0.0323443287247059,0.0818858779988294,0.0308182145577069,1,0.123811587943376,0.465167403216994,0.294215032926279,0.0679739749106386,-0.0707170508893136,0.169822291214034,0.10298989735379,0.064412449565017,0.0135414065203798,0.087749659200302,0.0978162289165555,0.123055727536183,0.0879664020914986,0.0423487292320436,0.0649947571162502,0.197795385337107,0.381836415255032,0.0752572972757934,0.0308518910820639,0.131527160365672,0.0552899708508325,0.0351951971556918,0.0660075730219832,0.0251644693191121
"cuota_mensual",0.00179580670392833,0.00677093530613171,0.00761225779557593,0.00978880729213058,0.0123253370033372,0.00766878860609695,0.123811587943376,1,0.0539750416602896,-0.078330940584749,0.00643796068017211,0.034893521695078,0.0123010530714138,0.026366377792032,0.0203316865388738,0.000853970698536625,0.0341390257874211,0.0233548198459554,0.0338881245492952,0.0569994816418695,0.0204043637414539,0.0122429417010018,0.0142065948148732,0.109203510124262,0.265752838550189,0.0201106340883471,0.0686506925139894,0.0512809094410997,0.0043049617370513,0.0118115505361503,0.00157625706603527
"score",0.0392751074019989,0.149273086399709,0.0533165877090963,0.0148798109730184,0.0836861910943819,0.0564231798290695,0.465167403216994,0.0539750416602896,1,-0.0572447798441735,-0.145575388894133,-0.17294278783764,0.307433997156616,0.164037435140419,0.161766430995994,0.0301152259366255,0.127009479362876,0.086638252008201,0.108515883793805,0.105323106352626,0.108746555705811,0.135602324964663,0.27906694197669,0.26456835254957,0.230127034526505,0.0591776265823594,0.207559482203417,0.132322976791332,0.0477914096270919,0.0660410898075166,0.0542389932380214
"saldo_capital",-0.0141570511279175,0.052171646782478,-0.00174540848793843,-0.0357861354219043,-0.0171394916936021,-0.0185043645754702,0.294215032926279,-0.078330940584749,-0.0572447798441735,1,0.43621154926188,0.168135193386232,-0.0366321512541794,0.122783685744428,0.0576412572273033,0.00148019951247434,0.0289413705941415,0.0239707123136399,0.0353255860525221,0.112772963186984,0.0590277641446489,0.11542671534228,0.0195399773134903,0.460150424694862,0.149251337063949,0.0123492805505533,0.51702351581046,0.0818494192390046,0.00126122085555902,0.0148911106569571,0.0205516386660294
"saldo_vencido",-0.00658520164659526,-0.0117035277102693,-0.0135167403987621,-0.0228129192313206,-0.0236384642993088,-0.029918271308241,0.0679739749106386,0.00643796068017211,-0.145575388894133,0.43621154926188,1,0.368660956697832,-0.0607610674445058,0.0871917615005338,0.0474099621859188,0.012693928276098,0.0311405311823584,0.0378692454045449,0.0529002919939906,0.0610766345544548,0.0650636099136827,0.0814220839682209,0.047441588798738,0.202052609904812,0.145621170624865,0.0122857855383172,0.838575586484875,0.0755545902520627,0.00695112072222268,0.0206104370855225,0.027831068832462
"dias_mora",-0.005173253528194,-0.0245723482016215,0.00568061640884381,-0.021770796700191,-0.0239503022089464,-0.0222277417235906,-0.0707170508893136,0.034893521695078,-0.17294278783764,0.168135193386232,0.368660956697832,1,-0.0320608092658661,0.0521024210265246,0.0263489811294513,0.00692333912862054,0.0164193491920338,0.0260588068633537,0.0364010599090787,0.0297615811205417,0.0316619499825856,0.0299634506905716,0.0353055418062756,0.0995566997054871,0.101153673636795,0.0208401301834321,0.968155877066563,0.0506231660271682,0.00620626512185536,0.0207978224457009,0.021903584779175
"edad",0.0130762175686942,0.125086499021704,0.0203356433717431,0.0223535018356323,0.062866754999164,0.0202304569928285,0.169822291214034,0.0123010530714138,0.307433997156616,-0.0366321512541794,-0.0607610674445058,-0.0320608092658661,1,0.131713060012523,0.358469883097001,0.0638538010327588,0.253681007272027,0.225492204034736,0.111573236318167,0.304087878619701,0.330646708976349,0.394714856413173,0.623844935707357,0.116889807729082,0.0903454515079339,0.040367257717335,0.0648234489185886,0.0536995219463829,0.0138880560765429,0.0337815719865262,0.0126523067710643
"nivel_estudios",0.0505812844580452,0.321021321531747,0.109042598958399,0.092592970582584,0.122162344275477,0.147509329562891,0.10298989735379,0.026366377792032,0.164037435140419,0.122783685744428,0.0871917615005338,0.0521024210265246,0.131713060012523,1,0.0830070383082943,0.0312912965633437,0.100702459512712,0.0709250907378366,0.15753088039545,0.0716123288977431,0.0598126520989348,0.0835025555507835,0.0965304842018425,0.0538826105948439,0.0678330308375458,0.0270703387028963,0.0357468909002701,0.0743354316416503,0.105492136359468,0.103284175881744,0.149819255125766
"estado_civil",0.134265369879361,0.0958314028785617,0.0435803381542839,0.115052835025326,0.0586507480051978,0.041086999573868,0.064412449565017,0.0203316865388738,0.161766430995994,0.0576412572273033,0.0474099621859188,0.0263489811294513,0.358469883097001,0.0830070383082943,1,0.0826454326435658,0.103201892904745,0.0552568936831451,0.0659557458965443,0.108234731702041,0.122915648736561,0.136999045732816,0.15480434910773,0.0454569681352529,0.0262205325697583,0.0163777096183459,0.0333328327423772,0.0791194031678124,0.0379309270492697,0.0401729733767875,0.0408270053438014
